Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bizyaeva, A., Franci, A., Leonard, N.E.","57221141673;36655573900;57193979078;","Nonlinear Opinion Dynamics With Tunable Sensitivity",2023,"IEEE Transactions on Automatic Control","68","3",,"1415","1430",,5,"10.1109/TAC.2022.3159527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126543006&doi=10.1109%2fTAC.2022.3159527&partnerID=40&md5=6c814e081c36ec867408cd41bbe271fa",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85126543006
"Zhong, Y.D., Srivastava, V., Leonard, N.E.","57201800498;57200863386;57193979078;","Influence Spread in the Heterogeneous Multiplex Linear Threshold Model",2022,"IEEE Transactions on Control of Network Systems","9","3",,"1080","1091",,1,"10.1109/TCNS.2021.3088782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112210515&doi=10.1109%2fTCNS.2021.3088782&partnerID=40&md5=8565349591f6715fcd8bab76cfa13eb9",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112210515
"Savas, A.J., Park, S., Poor, H.V., Leonard, N.E.","55252848700;55490142200;55665272100;57193979078;","On Separation of Distributed Estimation and Control for LTI Systems",2022,"Proceedings of the IEEE Conference on Decision and Control","2022-December",,,"963","968",,,"10.1109/CDC51059.2022.9992724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147027230&doi=10.1109%2fCDC51059.2022.9992724&partnerID=40&md5=0436cf0f565f3a7d3abd3aeefad3cb1b",Conference Paper,"Final","",Scopus,2-s2.0-85147027230
"Madhushani, U., Dey, B., Leonard, N.E., Chakraborty, A.","57210822766;55638945600;57193979078;56393784500;","On Using Hamiltonian Monte Carlo Sampling for RL",2022,"Proceedings of the IEEE Conference on Decision and Control","2022-December",,,"6640","6645",,,"10.1109/CDC51059.2022.9992764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146982604&doi=10.1109%2fCDC51059.2022.9992764&partnerID=40&md5=8c55f91c348a2d5f79a8a42a06bc6b72",Conference Paper,"Final","",Scopus,2-s2.0-85146982604
"Nakamura, K., Santos, M., Leonard, N.E.","57305211600;57199791705;57193979078;","Decentralized Learning With Limited Communications for Multi-robot Coverage of Unknown Spatial Fields",2022,"IEEE International Conference on Intelligent Robots and Systems","2022-October",,,"9980","9986",,,"10.1109/IROS47612.2022.9981665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146315035&doi=10.1109%2fIROS47612.2022.9981665&partnerID=40&md5=3ff1120019bc1794dd85418fdd28f685",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85146315035
"Lidard, J., Madhushani, U., Leonard, N.E.","57219354062;57210822766;57193979078;","Provably Efficient Multi-Agent Reinforcement Learning with Fully Decentralized Communication",2022,"Proceedings of the American Control Conference","2022-June",,,"3311","3316",,,"10.23919/ACC53348.2022.9867146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138496403&doi=10.23919%2fACC53348.2022.9867146&partnerID=40&md5=bf7d08ebde2b4243e3a17cc6c1f9ed25",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85138496403
"Bizyaeva, A., Amorim, G., Santos, M., Franci, A., Leonard, N.E.","57221141673;57567501900;57199791705;36655573900;57193979078;","Switching Transformations for Decentralized Control of Opinion Patterns in Signed Networks: Application to Dynamic Task Allocation",2022,"IEEE Control Systems Letters","6",,,"3463","3468",,,"10.1109/LCSYS.2022.3185981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133684849&doi=10.1109%2fLCSYS.2022.3185981&partnerID=40&md5=dbd8a85ed4e28d78b05e5a4018b505d7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85133684849
"Park, S., Bizyaeva, A., Kawakatsu, M., Franci, A., Leonard, N.E.","55490142200;57221141673;57219763751;36655573900;57193979078;","Tuning Cooperative Behavior in Games with Nonlinear Opinion Dynamics",2022,"IEEE Control Systems Letters","6",,,"2030","2035",,2,"10.1109/LCSYS.2021.3138725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122316796&doi=10.1109%2fLCSYS.2021.3138725&partnerID=40&md5=f5c9011513776d10d7ac4048a84b9da7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85122316796
"Leonard, N.E., Lipsitz, K., Bizyaeva, A., Franci, A., Lelkes, Y.","57193979078;7801502777;57221141673;36655573900;35364804000;","The nonlinear feedback dynamics of asymmetric political polarization",2021,"Proceedings of the National Academy of Sciences of the United States of America","118","50","e2102149118","","",,21,"10.1073/pnas.2102149118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115182529&doi=10.1073%2fpnas.2102149118&partnerID=40&md5=a1e06902dfa9b0b19b1e3bdb2beb2bdb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85115182529
"Becker, J.A., Hutchinson, M.C., Potter, A.B., Park, S., Guyton, J.A., Abernathy, K., Americo, V.F., da Conceiçāo, A., Kartzinel, T.R., Kuziel, L., Leonard, N.E., Lorenzi, E., Martins, N.C., Pansu, J., Scott, W.L., Stahl, M.K., Torrens, K.R., Stalmans, M.E., Long, R.A., Pringle, R.M.","57237373600;57193419962;57205245198;55490142200;56506776200;6506436173;57236546400;57214314818;55481023700;57235698900;57193979078;57235699000;55921262900;36859603800;57193675581;57235699100;57237655600;6602988724;8336838800;8678395500;","Ecological and behavioral mechanisms of density-dependent habitat expansion in a recovering African ungulate population",2021,"Ecological Monographs","91","4","e01476","","",,10,"10.1002/ecm.1476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113792257&doi=10.1002%2fecm.1476&partnerID=40&md5=d1d5736cd96c2f515a3ae4869b9af324",Article,"Final","",Scopus,2-s2.0-85113792257
"Madhushani, U., Leonard, N.E.","57210822766;57193979078;","Heterogeneous Explore-Exploit Strategies on Multi-Star Networks",2021,"IEEE Control Systems Letters","5","5","9279222","1603","1608",,5,"10.1109/LCSYS.2020.3042459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097953617&doi=10.1109%2fLCSYS.2020.3042459&partnerID=40&md5=ae3c66c17ce4413a7bdbf8be34ae527d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85097953617
"Franci, A., Bizyaeva, A., Park, S., Leonard, N.E.","36655573900;57221141673;55490142200;57193979078;","Analysis and control of agreement and disagreement opinion cascades",2021,"Swarm Intelligence","15","1-2",,"47","82",,6,"10.1007/s11721-021-00190-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106438597&doi=10.1007%2fs11721-021-00190-w&partnerID=40&md5=fd99d5b1378022be85c4c6d77d8e71a2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85106438597
"Madhushani, U., Leonard, N.E.","57210822766;57193979078;","Heterogeneous Explore-Exploit Strategies on Multi-Star Networks",2021,"Proceedings of the American Control Conference","2021-May",,"9482727","1192","1197",,,"10.23919/ACC50511.2021.9482727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111933030&doi=10.23919%2fACC50511.2021.9482727&partnerID=40&md5=64f7f8ada6dd554f493c328c6e2da885",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85111933030
"Park, S., Leonard, N.E.","55490142200;57193979078;","KL Divergence Regularized Learning Model for Multi-Agent Decision Making",2021,"Proceedings of the American Control Conference","2021-May",,"9483414","4509","4514",,,"10.23919/ACC50511.2021.9483414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111906844&doi=10.23919%2fACC50511.2021.9483414&partnerID=40&md5=5f3f87f3eab3bfe4d622df3a236eef72",Conference Paper,"Final","",Scopus,2-s2.0-85111906844
"Bizyaeva, A., Matthews, A., Franci, A., Leonard, N.E.","57221141673;57221141815;36655573900;57193979078;","Patterns of Nonlinear Opinion Formation on Networks",2021,"Proceedings of the American Control Conference","2021-May",,"9482811","2739","2744",,6,"10.23919/ACC50511.2021.9482811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104295938&doi=10.23919%2fACC50511.2021.9482811&partnerID=40&md5=044e857fb5a492778e738be87e10f635",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85104295938
"Landgren, P., Srivastava, V., Leonard, N.E.","56703699800;57200863386;57193979078;","Distributed cooperative decision making in multi-agent multi-armed bandits",2021,"Automatica","125",,"109445","","",,16,"10.1016/j.automatica.2020.109445","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098978495&doi=10.1016%2fj.automatica.2020.109445&partnerID=40&md5=7a0951f154c6f0931be11bc2f643f848",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85098978495
"Pagliara, R., Leonard, N.E.","57204889451;57193979078;","Adaptive Susceptibility and Heterogeneity in Contagion Models on Networks",2021,"IEEE Transactions on Automatic Control","66","2","9057446","581","594",,7,"10.1109/TAC.2020.2985300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100378637&doi=10.1109%2fTAC.2020.2985300&partnerID=40&md5=4e0d67cf23546de4f9aa348f952c028f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100378637
"Park, S., Zhong, Y.D., Leonard, N.E.","55490142200;57201800498;57193979078;","Multi-Robot Task Allocation Games in Dynamically Changing Environments",2021,"Proceedings - IEEE International Conference on Robotics and Automation","2021-May",,,"13415","13422",,4,"10.1109/ICRA48506.2021.9561809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125460323&doi=10.1109%2fICRA48506.2021.9561809&partnerID=40&md5=3fd690c8e6ccc52b76124ef06468b2f3",Conference Paper,"Final","",Scopus,2-s2.0-85125460323
"Santos, M., Madhushani, U., Benevento, A., Leonard, N.E.","57199791705;57210822766;57219433662;57193979078;","Multi-robot Learning and Coverage of Unknown Spatial Fields",2021,"2021 International Symposium on Multi-Robot and Multi-Agent Systems, MRS 2021",,,,"137","145",,4,"10.1109/MRS50823.2021.9620688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123994644&doi=10.1109%2fMRS50823.2021.9620688&partnerID=40&md5=d4222dff3234d076225878847d1b752c",Conference Paper,"Final","",Scopus,2-s2.0-85123994644
"Madhushani, U., Leonard, N.E., Dubey, A., Pentland, A.","57210822766;57193979078;57191429211;7102755925;","One More Step Towards Reality: Cooperative Bandits with Imperfect Communication",2021,"Advances in Neural Information Processing Systems","10",,,"7813","7824",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123248137&partnerID=40&md5=82ae34a4fe0deed691f31890bece34ec",Conference Paper,"Final","",Scopus,2-s2.0-85123248137
"Madhushani, U., Leonard, N.E.","57210822766;57193979078;","Distributed Bandits: Probabilistic Communication on d-regular Graphs",2021,"2021 European Control Conference, ECC 2021",,,,"830","835",,1,"10.23919/ECC54610.2021.9655031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120500411&doi=10.23919%2fECC54610.2021.9655031&partnerID=40&md5=ab72c1535469099841a39ec986d89f65",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85120500411
"Bizyaeva, A., Sorochkin, T., Franci, A., Ehrich Leonard, N.","57221141673;57211935599;36655573900;57193979078;","Control of Agreement and Disagreement Cascades with Distributed Inputs",2021,"Proceedings of the IEEE Conference on Decision and Control","2021-December",,,"4994","4999",,2,"10.1109/CDC45484.2021.9683650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116358464&doi=10.1109%2fCDC45484.2021.9683650&partnerID=40&md5=8dded0ea3117a11a7e0ca5fc94a72077",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85116358464
"Reverdy, P., Srivastava, V., Leonard, N.E.","56102305200;57200863386;57193979078;","Erratum: Satisficing in Multiarmed Bandit Problems (IEEE Trans. Autom. Control (2017) 62:8 (3788–3803) DOI: 10.1109/TAC.2016.2644380)",2021,"IEEE Transactions on Automatic Control","66","1","9039571","476","478",,,"10.1109/TAC.2020.2981433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098671432&doi=10.1109%2fTAC.2020.2981433&partnerID=40&md5=4b4311d1d32697ea64d2172b88211ea5",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85098671432
"Aminzare, Z., Dey, B., Davison, E.N., Leonard, N.E.","55587985700;55638945600;56503239300;57193979078;","Cluster Synchronization of Diffusively Coupled Nonlinear Systems: A Contraction-Based Approach",2020,"Journal of Nonlinear Science","30","5",,"2235","2257",,4,"10.1007/s00332-018-9457-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044714285&doi=10.1007%2fs00332-018-9457-y&partnerID=40&md5=053499d86a92c50863c684599a7bfbd7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85044714285
"Madhushani, U., Leonard, N.E.","57210822766;57193979078;","A Dynamic Observation Strategy for Multi-agent Multi-armed Bandit Problem",2020,"European Control Conference 2020, ECC 2020",,,"9143736","1677","1682",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090123440&partnerID=40&md5=4f647430ffa3a7338695870d3f8dd1cf",Conference Paper,"Final","",Scopus,2-s2.0-85090123440
"Zhou, Y., Levin, S.A., Leonard, N.E.","57219766593;26643470900;57193979078;","Active Control and Sustained Oscillations in actSIS Epidemic Dynamics",2020,"IFAC-PapersOnLine","53","5",,"807","812",,2,"10.1016/j.ifacol.2021.04.175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104112358&doi=10.1016%2fj.ifacol.2021.04.175&partnerID=40&md5=32d31378e60591fe921720b3bb526e0c",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85104112358
"Zhong, Y.D., Leonard, N.E.","57201800498;57193979078;","Unsupervised learning of Lagrangian dynamics from images for prediction and control",2020,"Advances in Neural Information Processing Systems","2020-December",,,"","",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101949788&partnerID=40&md5=a347f0af1d45ff2faa341ac95a57dd2c",Conference Paper,"Final","",Scopus,2-s2.0-85101949788
"Zhong, Y.D., Leonard, N.E.","57201800498;57193979078;","A Continuous Threshold Model of Cascade Dynamics",2019,"Proceedings of the IEEE Conference on Decision and Control","2019-December",,"9029844","1704","1709",,7,"10.1109/CDC40024.2019.9029844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082494902&doi=10.1109%2fCDC40024.2019.9029844&partnerID=40&md5=e8055e11ef14344efa37950be6120e5e",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85082494902
"Park, S., Aschenbach, K.H., Ahmed, M., Scott, W.L., Leonard, N.E., Abernathy, K., Marshall, G., Shepard, M., Martins, N.C.","55490142200;6506289533;57210341871;57193675581;57193979078;6506436173;7402287565;35093147400;55921262900;","Animal-borne wireless network: Remote imaging of community ecology",2019,"Journal of Field Robotics","36","6",,"1141","1165",,5,"10.1002/rob.21891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070370447&doi=10.1002%2frob.21891&partnerID=40&md5=c4c3c8d3a33a4e6b6511ae1dc5bfe00c",Article,"Final","",Scopus,2-s2.0-85070370447
"Madhushani, U., Leonard, N.E.","57210822766;57193979078;","Heterogeneous stochastic interactions for multiple agents in a multi-armed bandit problem",2019,"2019 18th European Control Conference, ECC 2019",,,"8796036","3502","3507",,10,"10.23919/ECC.2019.8796036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071528916&doi=10.23919%2fECC.2019.8796036&partnerID=40&md5=c8ee188d81d8dea145f10107808f69c3",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85071528916
"Davison, E.N., Aminzare, Z., Dey, B., Ehrich Leonard, N.","56503239300;55587985700;55638945600;57193979078;","Mixed mode oscillations and phase locking in coupled FitzHugh-Nagumo model neurons",2019,"Chaos","29","3","033105","","",,25,"10.1063/1.5050178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062360121&doi=10.1063%2f1.5050178&partnerID=40&md5=c325b171c6f7b1986a6d70794d5d19fe",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85062360121
"Özcimder, K., Dey, B., Franci, A., Lazier, R., Trueman, D., Leonard, N.E.","55489658900;55638945600;36655573900;57191616898;23993259500;57193979078;","Social decision-making driven by artistic explore–exploit tension",2019,"Interdisciplinary Science Reviews","44","1",,"55","81",,2,"10.1080/03080188.2018.1544806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057567387&doi=10.1080%2f03080188.2018.1544806&partnerID=40&md5=f0757cdb09a18ac974a36245b387ff23",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85057567387
"Musslick, S., Bizyaeva, A., Agaron, S., Leonard, N., Cohen, J.D.","57195317708;57221141673;57918070900;57193979078;54992680400;","Stability-Flexibility Dilemma in Cognitive Control: A Dynamical System Perspective",2019,"Proceedings of the 41st Annual Meeting of the Cognitive Science Society: Creativity + Cognition + Computation, CogSci 2019",,,,"2420","2426",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081535472&partnerID=40&md5=ca2f98fc05900d95f6e477578dd08b1b",Conference Paper,"Final","",Scopus,2-s2.0-85081535472
"Pagliara, R., Gordon, D.M., Leonard, N.E.","57204889451;57202579026;57193979078;","Regulation of harvester ant foraging as a closed-loop excitable system",2018,"PLoS Computational Biology","14","12","e1006200","","",,25,"10.1371/journal.pcbi.1006200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059274686&doi=10.1371%2fjournal.pcbi.1006200&partnerID=40&md5=abb5955b74eb0257985a595575c28109",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059274686
"Dey, B., Franci, A., Ozcimder, K., Leonard, N.E.","55638945600;36655573900;55489658900;57193979078;","Feedback Controlled Bifurcation of Evolutionary Dynamics with Generalized Fitness",2018,"Proceedings of the American Control Conference","2018-June",,"8431851","6049","6054",,2,"10.23919/ACC.2018.8431851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052579984&doi=10.23919%2fACC.2018.8431851&partnerID=40&md5=b5816fd92d4711f8b72267d185f72e42",Conference Paper,"Final","",Scopus,2-s2.0-85052579984
"Scott, W.L., Leonard, N.E.","57193675581;57193979078;","Optimal evasive strategies for multiple interacting agents with motion constraints",2018,"Automatica","94",,,"26","34",,19,"10.1016/j.automatica.2018.04.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046170705&doi=10.1016%2fj.automatica.2018.04.008&partnerID=40&md5=bec88e094591ddb215333e9cb7097d9c",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85046170705
"Landgren, P., Srivastava, V., Ehrich Leonard, N.","56703699800;57200863386;57193979078;","Social Imitation in Cooperative Multiarmed Bandits: Partition-Based Algorithms with Strictly Local Information",2018,"Proceedings of the IEEE Conference on Decision and Control","2018-December",,"8619744","5239","5244",,17,"10.1109/CDC.2018.8619744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062176072&doi=10.1109%2fCDC.2018.8619744&partnerID=40&md5=a62994534746024b4a0a529c06d26655",Conference Paper,"Final","",Scopus,2-s2.0-85062176072
"Scott, W.L., Leonard, N.E.","57193675581;57193979078;","Minimum-time trajectories for steered agent with constraints on speed, lateral acceleration, and turning rate",2018,"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME","140","7","071017","","",,1,"10.1115/1.4039283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046172052&doi=10.1115%2f1.4039283&partnerID=40&md5=d1a9db3f63a4d4973cadf49629dd1bee",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85046172052
"Gray, R., Franci, A., Srivastava, V., Leonard, N.E.","57196094152;36655573900;57200863386;57193979078;","Multiagent Decision-Making Dynamics Inspired by Honeybees",2018,"IEEE Transactions on Control of Network Systems","5","2",,"793","806",,52,"10.1109/TCNS.2018.2796301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040935535&doi=10.1109%2fTCNS.2018.2796301&partnerID=40&md5=a74a44a34c4b3f4565a3cbd5068a1923",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85040935535
"Pagliara, R., Dey, B., Leonard, N.E.","57204889451;55638945600;57193979078;","Bistability and Resurgent Epidemics in Reinfection Models",2018,"IEEE Control Systems Letters","2","2",,"290","295",,11,"10.1109/LCSYS.2018.2832063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057641694&doi=10.1109%2fLCSYS.2018.2832063&partnerID=40&md5=e4bdad85997da2f53f54bddce133ca95",Article,"Final","",Scopus,2-s2.0-85057641694
"Cen, S.H., Srivastava, V., Leonard, N.E.","57201860693;57200863386;57193979078;","On robustness and leadership in Markov switching consensus networks",2018,"2017 IEEE 56th Annual Conference on Decision and Control, CDC 2017","2018-January",,,"1701","1706",,1,"10.1109/CDC.2017.8263895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046285249&doi=10.1109%2fCDC.2017.8263895&partnerID=40&md5=2500ad43cca64847b67e27bda7568366",Conference Paper,"Final","",Scopus,2-s2.0-85046285249
"Zhong, Y.D., Srivastava, V., Leonard, N.E.","57201800498;57200863386;57193979078;","On the linear threshold model for diffusion of innovations in multiplex social networks",2018,"2017 IEEE 56th Annual Conference on Decision and Control, CDC 2017","2018-January",,,"2593","2598",,16,"10.1109/CDC.2017.8264035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046164673&doi=10.1109%2fCDC.2017.8264035&partnerID=40&md5=667aa1516893e1a5465dd38ff0e12b6f",Conference Paper,"Final","",Scopus,2-s2.0-85046164673
"Reverdy, P., Srivastava, V., Leonard, N.E.","56102305200;57200863386;57193979078;","Satisficing in Multi-Armed Bandit Problems",2017,"IEEE Transactions on Automatic Control","62","8","7795183","3788","3803",,16,"10.1109/TAC.2016.2644380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029307921&doi=10.1109%2fTAC.2016.2644380&partnerID=40&md5=416e2663dff96488ff4fd1e763e8ec1b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85029307921
"Gray, R., Franci, A., Srivastava, V., Ehrich Leonard, N.","57196094152;36655573900;57200863386;57193979078;","An agent-based framework for bio-inspired, value-sensitive decision-making",2017,"IFAC-PapersOnLine","50","1",,"8238","8243",,5,"10.1016/j.ifacol.2017.08.1392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027076232&doi=10.1016%2fj.ifacol.2017.08.1392&partnerID=40&md5=04846d91fc238d654171e646619dbebe",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85027076232
"Savas, A.J., Srivastava, V., Leonard, N.E.","55252848700;57200863386;57193979078;","On distributed linear filtering with noisy communication",2017,"Proceedings of the American Control Conference",,,"7963360","2699","2704",,4,"10.23919/ACC.2017.7963360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027067384&doi=10.23919%2fACC.2017.7963360&partnerID=40&md5=ed3ffcf708cfd72dd52dfd39418ff1e5",Conference Paper,"Final","",Scopus,2-s2.0-85027067384
"Srivastava, V., Leonard, N.E.","57200863386;57193979078;","Bio-inspired decision-making and control: From honeybees and neurons to network design",2017,"Proceedings of the American Control Conference",,,"7963250","2026","2039",,6,"10.23919/ACC.2017.7963250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026998160&doi=10.23919%2fACC.2017.7963250&partnerID=40&md5=372cb7441cfb4c0742126df248850486",Conference Paper,"Final","",Scopus,2-s2.0-85026998160
"Srivastava, V., Feng, S.F., Cohen, J.D., Leonard, N.E., Shenhav, A.","57200863386;7402531341;54992680400;57193979078;25723894000;","A martingale analysis of first passage times of time-dependent Wiener diffusion models",2017,"Journal of Mathematical Psychology","77",,,"94","110",,14,"10.1016/j.jmp.2016.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016461016&doi=10.1016%2fj.jmp.2016.10.001&partnerID=40&md5=f5e7d36d59818ab89f39fee3a0167d83",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85016461016
"Brush, E.R., Leonard, N.E., Levin, S.A.","55805040400;57193979078;26643470900;","Erratum to: The content and availability of information affects the evolution of social-information gathering strategies (Theoretical Ecology, (2016), 9, (455-476), 10.1007/s12080-016-0301-4)",2017,"Theoretical Ecology","10","1",,"145","",,,"10.1007/s12080-017-0330-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012115822&doi=10.1007%2fs12080-017-0330-7&partnerID=40&md5=65df364583f4c51b284af671cd7df781",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85012115822
"Davison, E.N., Dey, B., Leonard, N.E.","56503239300;55638945600;57193979078;","Synchronization bound for networks of nonlinear oscillators",2017,"54th Annual Allerton Conference on Communication, Control, and Computing, Allerton 2016",,,"7852359","1110","1115",,7,"10.1109/ALLERTON.2016.7852359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015239563&doi=10.1109%2fALLERTON.2016.7852359&partnerID=40&md5=9b1f59424026f38a671bf33b41c9d7b7",Conference Paper,"Final","",Scopus,2-s2.0-85015239563
"Landgren, P., Srivastava, V., Leonard, N.E.","56703699800;57200863386;57193979078;","On distributed cooperative decision-making in multiarmed bandits",2017,"2016 European Control Conference, ECC 2016",,,"7810293","243","248",,30,"10.1109/ECC.2016.7810293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015026078&doi=10.1109%2fECC.2016.7810293&partnerID=40&md5=67841400fd1035c68cc16927ef37cb42",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85015026078
"Landgren, P., Srivastava, V., Leonard, N.E.","56703699800;57200863386;57193979078;","Distributed cooperative decision-making in multiarmed bandits: Frequentist and Bayesian algorithms",2016,"2016 IEEE 55th Conference on Decision and Control, CDC 2016",,,"7798264","167","172",,48,"10.1109/CDC.2016.7798264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010764309&doi=10.1109%2fCDC.2016.7798264&partnerID=40&md5=06bc337b88a9bc7a68c2445b865640db",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85010764309
"Fitch, K., Ehrich Leonard, N.","51461169700;57193979078;","Joint centrality distinguishes optimal leaders in noisy networks",2016,"IEEE Transactions on Control of Network Systems","3","4","7277027","366","378",,48,"10.1109/TCNS.2015.2481138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007608253&doi=10.1109%2fTCNS.2015.2481138&partnerID=40&md5=94a5f7e0aafdfa0f79c34eac4acecd59",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85007608253
"Brush, E.R., Leonard, N.E., Levin, S.A.","55805040400;57193979078;26643470900;","The content and availability of information affects the evolution of social-information gathering strategies",2016,"Theoretical Ecology","9","4",,"455","476",,4,"10.1007/s12080-016-0301-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976315638&doi=10.1007%2fs12080-016-0301-4&partnerID=40&md5=8d920a334a874d428373ef1d5553b156",Article,"Final","",Scopus,2-s2.0-84976315638
"Ozcimder, K., Dey, B., Lazier, R.J., Trueman, D., Leonard, N.E.","55489658900;55638945600;57191616898;23993259500;57193979078;","Investigating group behavior in dance: An evolutionary dynamics approach",2016,"Proceedings of the American Control Conference","2016-July",,"7526687","6465","6470",,13,"10.1109/ACC.2016.7526687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992156953&doi=10.1109%2fACC.2016.7526687&partnerID=40&md5=1b42eb1248a119526500b38198a62a3f",Conference Paper,"Final","",Scopus,2-s2.0-84992156953
"Young, G.F., Scardovi, L., Leonard, N.E.","36549718400;16686599100;57193979078;","A New Notion of Effective Resistance for Directed Graphs - Part II: Computing Resistances",2016,"IEEE Transactions on Automatic Control","61","7","7275126","1737","1752",,12,"10.1109/TAC.2015.2481839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977156543&doi=10.1109%2fTAC.2015.2481839&partnerID=40&md5=202a5131046d39e11c4224ed638e3874",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84977156543
